x,y
5.064300,5.066286
5.257700,5.219264
5.837900,5.851122
6.228000,6.141825
4.774200,4.761136
3.903900,3.981781
5.644500,5.662805
2.260000,2.152248
1.969900,1.969192
2.840200,2.904449
0.616200,1.264909
1.196300,1.392281
4.967600,5.065355
7.528000,7.696292
7.828000,8.301188
7.128000,6.835312
7.028000,6.747760
7.228000,7.115604
7.328000,7.100772
8.128000,8.240082
7.628000,7.479828
2.743500,2.756621
6.328000,6.208421
1.389700,1.506446
2.936900,2.938341
1.583100,1.608671
1.776500,1.817012
3.227000,3.124171
3.130300,3.132972
1.873200,1.896973
2.453400,2.385195
1.099600,1.371389
1.679800,1.701759
1.002900,1.407242
4.194000,4.207853
4.000600,4.099422
3.323700,3.306121
2.066600,2.035192
3.033600,3.025036
4.097300,4.172369
0.426600,0.838971
3.710500,3.770152
4.387400,4.470541
0.712800,1.237445
5.161000,5.225169
3.420400,3.402188
1.486400,1.555544
3.807200,3.870497
6.528000,6.355565
11.028000,12.370225
2.646800,2.619456
0.809500,1.317634
4.677500,4.775412
0.284400,0.851928
0.331800,0.897465
6.128000,6.132690
5.934600,5.831796
6.628000,6.406221
2.550100,2.600419
3.613800,3.664531
4.290700,4.370945
2.356700,2.294895
1.293000,1.474813
2.163300,2.011314
6.828000,6.395588
6.928000,6.675473
4.580800,4.701722
5.741200,5.738713
3.517100,3.522354
0.906200,1.263000
4.870900,4.906739
5.547800,5.534818
5.451100,5.448619
6.428000,6.295804
5.354400,5.375696
6.728000,6.597972
8.828000,9.937282
4.484100,4.585454
6.031300,5.993310
7.928000,7.637141
8.428000,8.072706
8.728000,10.058126
9.228000,8.364426
7.428000,7.480364
0.521400,1.144601
9.528000,12.002151
0.237000,0.677750
9.728000,8.911144
9.828000,9.451765
9.628000,10.204722
8.628000,9.033860
8.328000,9.249467
0.379200,0.993469
7.728000,7.504623
9.428000,8.566608
8.228000,8.420080
8.028000,7.903709
9.128000,8.861009
12.328000,12.687048
8.528000,8.389519
10.028000,13.334825
9.028000,11.260820
3.710500,3.429300
2.260000,2.056357
1.583100,1.521813
3.613800,3.232623
4.290700,4.043371
3.807200,3.604429
2.066600,1.925132
4.774200,4.652879
3.033600,2.778508
2.453400,2.220690
3.420400,3.158785
1.486400,1.534489
5.837900,6.214823
4.484100,4.346049
1.969900,1.794008
3.130300,2.902930
6.928000,7.824761
4.677500,4.581723
4.580800,4.318165
2.743500,2.520118
8.628000,9.882104
1.679800,1.651670
5.257700,5.203232
4.000600,3.764757
1.776500,1.739974
2.840200,2.514959
0.616200,1.131950
2.936900,2.687685
3.517100,3.227955
5.161000,5.092702
1.293000,1.475997
3.903900,3.683903
2.356700,2.126871
4.870900,4.795055
0.906200,1.218648
4.194000,3.835529
3.227000,3.066662
1.196300,1.374466
2.163300,1.911663
0.712800,1.426036
2.646800,2.446072
5.354400,5.622964
3.323700,3.120790
2.550100,2.306346
1.873200,1.776562
1.389700,1.455592
1.002900,1.406735
4.097300,3.936853
5.741200,6.079166
5.064300,5.150671
4.967600,4.968180
5.547800,5.751393
4.387400,4.334292
5.644500,5.946110
0.521400,1.039268
1.099600,1.398702
5.451100,5.377630
0.809500,1.349039
7.128000,8.044547
6.728000,6.829319
9.128000,9.812241
6.031300,6.305086
6.828000,7.990484
6.628000,7.378228
6.428000,7.475318
5.934600,6.298004
7.228000,8.005638
7.428000,8.326440
0.379200,1.012150
7.528000,8.496589
7.728000,8.997782
8.028000,8.781510
9.028000,9.109042
0.331800,0.906075
6.128000,6.109132
6.528000,7.004834
6.228000,6.422998
7.028000,8.310050
7.828000,9.943494
6.328000,6.904844
8.528000,10.019711
7.328000,8.180689
0.426600,0.972924
7.928000,11.001510
8.728000,9.093445
9.228000,10.587246
8.128000,10.193997
0.568800,1.164348
8.928000,9.895836
8.328000,9.314064
4.580800,4.565386
4.000600,4.243270
3.323700,3.479805
3.227000,3.002786
1.776500,1.466519
3.613800,3.459881
2.066600,1.847043
3.807200,3.442873
2.646800,2.431388
3.033600,2.809768
1.969900,1.635349
5.547800,5.199979
3.517100,3.496397
4.387400,4.176748
2.163300,1.807104
3.130300,3.001957
1.679800,1.512257
3.710500,3.484179
2.260000,1.909865
4.870900,5.068768
1.099600,1.606503
1.873200,1.915532
4.484100,4.827632
0.284400,0.804203
0.906200,1.451466
0.521400,1.141923
2.550100,2.317751
1.583100,1.454465
2.356700,2.153599
3.903900,3.626535
2.743500,2.890282
4.097300,3.805689
1.389700,1.729152
5.451100,5.247109
0.474000,0.841629
6.128000,6.318640
0.379200,0.993162
4.290700,4.346084
5.257700,5.136668
0.568800,1.241949
0.809500,1.479867
2.453400,2.350241
0.712800,1.370888
2.936900,2.847626
3.420400,3.273904
5.354400,5.578494
5.741200,5.536917
5.161000,5.107595
4.967600,4.697101
4.194000,4.211186
4.677500,4.561057
5.934600,6.026385
5.064300,5.067379
6.031300,6.291702
5.837900,5.949816
5.644500,5.715617
6.228000,6.181357
7.228000,7.525650
1.486400,1.337586
2.840200,2.563355
1.293000,1.368481
0.426600,1.024335
6.328000,6.882092
6.928000,7.447266
7.928000,7.884404
0.616200,0.648280
1.969900,1.918488
1.873200,1.965420
2.743500,2.943442
0.809500,1.510657
0.521400,0.966117
1.486400,1.408589
2.936900,2.883591
2.356700,2.475869
1.776500,1.745625
6.628000,8.893699
3.227000,3.130832
5.451100,5.840923
3.130300,3.097565
2.840200,2.736887
3.807200,3.665453
3.903900,4.126584
2.550100,2.546085
2.163300,2.046410
3.033600,3.272736
1.293000,1.494205
4.000600,3.998481
1.389700,1.596530
3.420400,3.357062
2.453400,2.333750
1.002900,1.458991
4.097300,4.231030
4.774200,4.926507
1.679800,1.648536
2.260000,2.130441
1.196300,1.222015
1.583100,1.774289
3.517100,3.476806
5.064300,4.986434
3.710500,3.728225
0.426600,0.819561
3.323700,3.066208
4.484100,4.728278
0.331800,0.972627
4.677500,5.203735
3.613800,3.891345
4.290700,4.576492
4.194000,4.265207
0.616200,1.140846
5.837900,6.607168
5.547800,6.260214
4.387400,4.433110
4.967600,4.920944
4.870900,5.605009
4.580800,5.019962
2.066600,1.572925
9.028000,11.987923
2.646800,2.625967
0.906200,1.442050
6.128000,6.335138
0.237000,0.680104
5.161000,5.083911
0.379200,0.969808
3.613800,3.167651
4.870900,4.547069
1.679800,1.721591
2.840200,2.099575
3.227000,3.155431
2.066600,2.027942
5.257700,5.359450
3.903900,3.993669
7.028000,7.400902
2.163300,1.855588
3.517100,2.966072
1.873200,1.719796
4.194000,3.607921
4.387400,4.255131
2.550100,2.313556
1.196300,1.746506
1.389700,1.681372
6.428000,6.232781
2.356700,2.170066
1.583100,1.934234
1.486400,1.721099
4.290700,4.888871
3.033600,2.811722
0.616200,1.112725
2.453400,2.332096
1.969900,1.896825
6.328000,6.126337
2.646800,2.613911
4.580800,4.426240
4.097300,3.592257
4.967600,4.356124
1.099600,1.460395
1.293000,1.754877
0.474000,0.902180
3.807200,3.608048
3.710500,3.944051
2.936900,2.993705
0.426600,0.981982
5.741200,6.114102
4.677500,4.698921
3.323700,3.426522
5.354400,5.071951
2.743500,2.664240
3.130300,3.300142
3.420400,3.008180
5.064300,5.302629
0.809500,1.306194
1.776500,1.687428
5.644500,5.543394
4.000600,3.497587
4.774200,4.414557
5.161000,4.790612
6.128000,5.545395
5.451100,5.678041
0.712800,1.042343
1.002900,1.484354
0.521400,1.109574
7.228000,7.122733
0.568800,1.019011
0.331800,0.742698
1.583100,1.646238
3.130300,2.903588
6.128000,5.938562
0.809500,1.209223
0.568800,0.989283
1.099600,1.537438
0.379200,0.888342
2.163300,2.198227
3.420400,3.488751
1.196300,1.755154
1.776500,1.626936
3.033600,2.922355
3.903900,3.965226
1.002900,1.576324
1.389700,1.554424
0.616200,1.128090
2.646800,1.945205
2.356700,2.127710
0.906200,1.284094
1.486400,1.319613
2.260000,2.122291
1.679800,1.455059
4.677500,4.625366
4.097300,3.816683
1.969900,1.246540
3.517100,3.316527
4.387400,3.770525
3.227000,2.563970
0.474000,0.966792
2.550100,2.968761
3.807200,3.828141
2.936900,2.574726
2.743500,2.120354
0.712800,0.648168
4.580800,4.340459
